game_type,expert_weight,weighted_brier,aggressive_weighted_brier,legacy_brier_2024,v1_reference_brier_2024_r,brier_2022,brier_2023,brier_2024,protects_legacy_anchor,protects_2024_r
R,0.0,0.24876245111227036,0.2487171083688736,0.2481723427772522,0.248099,0.2486257702112198,0.24983708560466766,0.2481723427772522,True,False
R,0.1,0.24871037155389786,0.2486677587032318,0.2481723427772522,0.248099,0.24861037731170654,0.2496539056301117,0.24818424880504608,False,False
R,0.2,0.24866892248392103,0.24862937480211256,0.2481723427772522,0.248099,0.2485981583595276,0.24949316680431366,0.24820268154144287,False,False
R,0.25,0.24865217953920365,0.24861429035663604,0.2481723427772522,0.248099,0.24859322607517242,0.24942122399806976,0.24821433424949646,False,False
R,0.3,0.2486380949616432,0.2486019492149353,0.2481723427772522,0.248099,0.24858908355236053,0.24935488402843475,0.24822762608528137,False,False
R,0.35,0.24862668961286544,0.24859237372875212,0.2481723427772522,0.248099,0.24858573079109192,0.2492941915988922,0.2482425719499588,False,False
R,0.4,0.2486179143190384,0.248585507273674,0.2481723427772522,0.248099,0.24858318269252777,0.24923907220363617,0.24825911223888397,False,False
F,0.2,0.2403309628367424,0.24437692314386367,0.2474461942911148,0.248099,0.2069048136472702,0.25089263916015625,0.24736441671848297,True,True
F,0.25,0.24032758325338363,0.24436161518096922,0.2474461942911148,0.248099,0.2070137858390808,0.2508259117603302,0.24735410511493683,True,True
F,0.3,0.24032993018627166,0.24435080885887148,0.2474461942911148,0.248099,0.20713907480239868,0.25076061487197876,0.2473478615283966,True,True
F,0.35,0.2403379738330841,0.2443444684147835,0.2474461942911148,0.248099,0.20728068053722382,0.25069674849510193,0.24734562635421753,True,True
F,0.4,0.24035177379846573,0.24434265792369841,0.2474461942911148,0.248099,0.2074386179447174,0.25063440203666687,0.24734745919704437,True,True
