season,pitcher_history_bin,rows,brier,target_mean,prediction_mean
2022,1-49,3915,0.23682540655136108,0.5632183908045977,0.57887334
2022,50-199,10494,0.23406925797462463,0.5642271774347246,0.5712022
2022,200-999,45640,0.23878926038742065,0.5539219982471516,0.5533444
2022,1000+,187335,0.24525420367717743,0.5201270451330504,0.52712226
2023,1-49,3066,0.2511138319969177,0.47129810828440966,0.51226866
2023,50-199,8285,0.25065165758132935,0.4648159324079662,0.50754035
2023,200-999,33688,0.2503776550292969,0.4840892899548801,0.50535893
2023,1000+,200423,0.249881312251091,0.5045379023365582,0.5039976
2024,1-49,3899,0.24604205787181854,0.45704026673506026,0.46679136
2024,50-199,10572,0.24786359071731567,0.46490730230798333,0.46814463
2024,200-999,44132,0.2477140873670578,0.47151726638267016,0.47673988
2024,1000+,194823,0.24810850620269775,0.49117404002607495,0.49374217
