column,dtype,rows,missing_count,missing_rate,unique_count,mean,std,min,max
trackman_id,int64,1793078,0,0.0,,896539.5,517617.17732654506,1.0,1793078.0
season,int64,1793078,0,0.0,6.0,2021.6410624635403,1.69345034446281,2019.0,2024.0
game_date,object,1793078,0,0.0,,,,,
game_month,int64,1793078,0,0.0,9.0,6.646882623064919,1.9581191525927506,3.0,11.0
game_dayofweek,int64,1793078,0,0.0,7.0,3.477168868281246,1.7200330470592937,0.0,6.0
trackman_game_id,object,1793078,0,0.0,5980.0,,,,
pitch_no,int64,1793078,0,0.0,,153.8761364536289,91.554535076693,1.0,475.0
inning,int64,1793078,0,0.0,,4.955753737428043,2.5949152463316922,0.0,13.0
top_bottom,object,1793078,0,0.0,2.0,,,,
balls_before,int64,1793078,0,0.0,,0.9011571164221523,0.9725954781558334,0.0,4.0
strikes_before,int64,1793078,0,0.0,,0.8602604013880043,0.8232754958606355,0.0,3.0
outs_before,int64,1793078,0,0.0,,0.9798357907464148,0.8166161986399776,0.0,4.0
pitch_of_pa,int64,1793078,0,0.0,,2.892198220043969,1.7274825659768134,1.0,19.0
pitcher_trackman_id,int64,1793078,0,0.0,906.0,146324.92575169625,725305.8881205469,50008.0,71775155.0
batter_trackman_id,int64,1793078,0,0.0,913.0,107693.27023252753,682284.6871309797,50007.0,93595155.0
pitcher_hand,object,1793078,0,0.0,2.0,,,,
batter_hand,object,1793078,0,0.0,2.0,,,,
pitcher_team,object,1793078,0,0.0,26.0,,,,
batter_team,object,1793078,0,0.0,26.0,,,,
tagged_pitch_type,object,1793078,0,0.0,17.0,,,,
auto_pitch_type,object,1793078,72,4.015441603767376e-05,11.0,,,,
pitch_type_group,object,1793078,0,0.0,4.0,,,,
rel_speed,float64,1793078,7617,0.004248002596652237,,135.96416504689827,9.371722706217808,71.6818,160.664
spin_rate,float64,1793078,12465,0.00695173327652227,,2169.969292730649,338.072198533689,434.9,3695.92
induced_vert_break,float64,1793078,10062,0.005611579641264909,,25.783769424597196,24.32939513727199,-81.8097,153.326
horz_break,float64,1793078,10333,0.005762716401628931,,9.454166139613681,25.890692348911987,-78.9232,103.699
extension,float64,1793078,7716,0.004303214918704039,,1.7591286096606737,0.16692099210444558,-0.387376,3.84514
rel_height,float64,1793078,7617,0.004248002596652237,,1.7031630181965889,0.24983983753781058,0.0971153,2.5121
rel_side,float64,1793078,7618,0.004248560296874982,,0.26374469911924464,0.5320781401450627,-2.28866,1.66635
zone_speed,float64,1793078,7921,0.0044175434643668595,,124.59041426378744,8.38556933796835,62.7546,148.296
