season,pitcher_history_bin,rows,brier,target_mean,prediction_mean
2022,1-49,3915,0.23689147617950237,0.5632183908045977,0.5787360539762149
2022,50-199,10494,0.23389499183847448,0.5642271774347246,0.5714224762710499
2022,200-999,45640,0.23876073309798793,0.5539219982471516,0.5537881418997316
2022,1000+,187335,0.245241624355876,0.5201270451330504,0.5272185478026673
2023,1-49,3066,0.2500205224128987,0.47129810828440966,0.4978358280600088
2023,50-199,8285,0.24964056573283616,0.4648159324079662,0.494504868483534
2023,200-999,33688,0.24991441345123916,0.4840892899548801,0.4929598402122855
2023,1000+,200423,0.25002391497090026,0.5045379023365582,0.49214704192337955
2024,1-49,3899,0.24633765117866693,0.45704026673506026,0.4699470886012224
2024,50-199,10572,0.2477160642444147,0.46490730230798333,0.4691563063343327
2024,200-999,44132,0.24774250611943097,0.47151726638267016,0.4761145540176426
2024,1000+,194823,0.2480609425492627,0.49117404002607495,0.49175253261550994
