season,target,rows,brier,target_mean,prediction_mean,best_iteration
2022,reverse,246994,0.17282725527812606,0.23294493556022644,0.23614683747291565,128
2022,middle,246994,0.12680114824523236,0.14940038323402405,0.1521206945180893,85
2022,outside_only,246994,0.10808378609389323,0.12550507485866547,0.12560343742370605,93
2022,reverse_middle,246994,0.03506241280218889,0.03655959293246269,0.038947127759456635,135
2023,reverse,245080,0.1931381356492651,0.25586339831352234,0.2795717418193817,39
2023,middle,245080,0.12959744615374028,0.15328872203826904,0.1591852605342865,92
2023,outside_only,245080,0.10767797534824558,0.12514281272888184,0.127187117934227,98
2023,reverse_middle,245080,0.03333708420900868,0.03422556072473526,0.04257916286587715,145
2024,reverse,253035,0.1848448682679612,0.24800126254558563,0.2547047734260559,196
2024,middle,253035,0.14422524987863455,0.176291823387146,0.17258574068546295,61
2024,outside_only,253035,0.10623479849105284,0.1229434683918953,0.12953335046768188,102
2024,reverse_middle,253035,0.03218646984028605,0.033307645469903946,0.0341271348297596,172
